Indexing CT events from block 44020001 to 85042596 (41022595 blocks)
  Error at blocks 44020001-44030000: insert or update on table "resolutions" violates foreign key constraint "resolutions_condition_id_fkey"
DETAIL:  Key (condition_id)=(0xed65addb5390c14b75158647f6b6dace012ef44b6a93ca936704545536dffa36) is not present in table "markets".

  Error at blocks 44030001-44040000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44040001-44050000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44050001-44060000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44060001-44070000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44070001-44080000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44080001-44090000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44090001-44100000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44100001-44110000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44110001-44120000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44120001-44130000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44130001-44140000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44140001-44150000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44150001-44160000: current transaction is aborted, commands ignored until end of transaction block

Indexing CT events from block 44020001 to 85042627 (41022626 blocks)
  [CT] Block 48650000/85042627 (11.3%) | resolutions=710 redemptions=14504
  [CT] Block 48660000/85042627 (11.3%) | resolutions=711 redemptions=14518
  [CT] Block 48670000/85042627 (11.3%) | resolutions=711 redemptions=14530
  [CT] Block 48680000/85042627 (11.4%) | resolutions=713 redemptions=14538
  [CT] Block 48810000/85042627 (11.7%) | resolutions=752 redemptions=15521
  [CT] Block 48890000/85042627 (11.9%) | resolutions=762 redemptions=16009
  [CT] Block 49000000/85042627 (12.1%) | resolutions=770 redemptions=16503
  [CT] Block 49090000/85042627 (12.4%) | resolutions=800 redemptions=16970
  [CT] Block 49100000/85042627 (12.4%) | resolutions=800 redemptions=17016
  [CT] Block 49110000/85042627 (12.4%) | resolutions=800 redemptions=17055
  [CT] Block 49120000/85042627 (12.4%) | resolutions=800 redemptions=17067
  [CT] Block 49130000/85042627 (12.5%) | resolutions=802 redemptions=17078
  [CT] Block 49140000/85042627 (12.5%) | resolutions=804 redemptions=17089
  [CT] Block 49200000/85042627 (12.6%) | resolutions=829 redemptions=17518
  [CT] Block 49370000/85042627 (13.0%) | resolutions=902 redemptions=18010
  [CT] Block 49380000/85042627 (13.1%) | resolutions=902 redemptions=18038
  [CT] Block 49390000/85042627 (13.1%) | resolutions=903 redemptions=18083
  [CT] Block 49400000/85042627 (13.1%) | resolutions=905 redemptions=18145
  [CT] Block 49430000/85042627 (13.2%) | resolutions=921 redemptions=18525
  [CT] Block 49530000/85042627 (13.4%) | resolutions=958 redemptions=19019
  [CT] Block 49650000/85042627 (13.7%) | resolutions=1001 redemptions=19432
  [CT] Block 49660000/85042627 (13.7%) | resolutions=1003 redemptions=19479
  [CT] Block 49670000/85042627 (13.8%) | resolutions=1006 redemptions=19540
  [CT] Block 49680000/85042627 (13.8%) | resolutions=1006 redemptions=19575
  [CT] Block 49750000/85042627 (14.0%) | resolutions=1033 redemptions=20033
  [CT] Block 49920000/85042627 (14.4%) | resolutions=1080 redemptions=20549
  [CT] Block 50010000/85042627 (14.6%) | resolutions=1109 redemptions=20804
  [CT] Block 50090000/85042627 (14.8%) | resolutions=1128 redemptions=21046
