============================================================
Phase 1: CTF Exchange (standard markets)
============================================================
Indexing ctf events from block 50672000 to 85042596 (34370596 blocks)
  [ctf] Block 52911999/85042596 (6.5%) | fills=92340 matches=37124
  [ctf] Block 52921999/85042596 (6.5%) | fills=92677 matches=37247
  [ctf] Block 52931999/85042596 (6.6%) | fills=93220 matches=37442
  [ctf] Block 52941999/85042596 (6.6%) | fills=93779 matches=37647
  [ctf] Block 52951999/85042596 (6.6%) | fills=94216 matches=37813
  [ctf] Block 52961999/85042596 (6.7%) | fills=94530 matches=37935
  [ctf] Block 52971999/85042596 (6.7%) | fills=95120 matches=38171
  [ctf] Block 52981999/85042596 (6.7%) | fills=95872 matches=38476
  [ctf] Block 52991999/85042596 (6.7%) | fills=96338 matches=38668
  [ctf] Block 53001999/85042596 (6.8%) | fills=96780 matches=38824
  [ctf] Block 53011999/85042596 (6.8%) | fills=97295 matches=39025
  [ctf] Block 53021999/85042596 (6.8%) | fills=97938 matches=39276
  [ctf] Block 53031999/85042596 (6.9%) | fills=98187 matches=39367
  [ctf] Block 53041999/85042596 (6.9%) | fills=98627 matches=39529
  [ctf] Block 53051999/85042596 (6.9%) | fills=99015 matches=39684
  [ctf] Block 53061999/85042596 (7.0%) | fills=99529 matches=39871
  [ctf] Block 53071999/85042596 (7.0%) | fills=99811 matches=39971
  [ctf] Block 53081999/85042596 (7.0%) | fills=100064 matches=40067
  [ctf] Block 53091999/85042596 (7.0%) | fills=100302 matches=40160
  [ctf] Block 53101999/85042596 (7.1%) | fills=100575 matches=40260
  [ctf] Block 53111999/85042596 (7.1%) | fills=100789 matches=40338
  [ctf] Block 53121999/85042596 (7.1%) | fills=101078 matches=40454
  [ctf] Block 53131999/85042596 (7.2%) | fills=101382 matches=40566
  [ctf] Block 53141999/85042596 (7.2%) | fills=101676 matches=40678
  [ctf] Block 53151999/85042596 (7.2%) | fills=101933 matches=40781
  [ctf] Block 53161999/85042596 (7.2%) | fills=102528 matches=40993
  [ctf] Block 53171999/85042596 (7.3%) | fills=102894 matches=41128
  [ctf] Block 53181999/85042596 (7.3%) | fills=103305 matches=41279
  [ctf] Block 53191999/85042596 (7.3%) | fills=103470 matches=41347
  [ctf] Block 53201999/85042596 (7.4%) | fills=103770 matches=41461
  [ctf] Block 53211999/85042596 (7.4%) | fills=104414 matches=41708
  [ctf] Block 53221999/85042596 (7.4%) | fills=104981 matches=41939
  [ctf] Block 53231999/85042596 (7.4%) | fills=105375 matches=42088
  [ctf] Block 53241999/85042596 (7.5%) | fills=106002 matches=42334
  [ctf] Block 53251999/85042596 (7.5%) | fills=106667 matches=42619
  [ctf] Block 53261999/85042596 (7.5%) | fills=107491 matches=42948
  [ctf] Block 53271999/85042596 (7.6%) | fills=108394 matches=43277
  [ctf] Block 53281999/85042596 (7.6%) | fills=109260 matches=43625
  [ctf] Block 53291999/85042596 (7.6%) | fills=110222 matches=44016
  [ctf] Block 53301999/85042596 (7.7%) | fills=111218 matches=44383
  [ctf] Block 53311999/85042596 (7.7%) | fills=111716 matches=44569
  [ctf] Block 53321999/85042596 (7.7%) | fills=112302 matches=44804
  [ctf] Block 53331999/85042596 (7.7%) | fills=113084 matches=45094
  [ctf] Block 53341999/85042596 (7.8%) | fills=113485 matches=45250
  [ctf] Block 53351999/85042596 (7.8%) | fills=114045 matches=45467
  [ctf] Block 53361999/85042596 (7.8%) | fills=114503 matches=45618
  [ctf] Block 53371999/85042596 (7.9%) | fills=114954 matches=45798
  [ctf] Block 53381999/85042596 (7.9%) | fills=115379 matches=45962
  [ctf] Block 53391999/85042596 (7.9%) | fills=115721 matches=46080
  [ctf] Block 53401999/85042596 (7.9%) | fills=116344 matches=46320
  [ctf] Block 53411999/85042596 (8.0%) | fills=117292 matches=46738
  [ctf] Block 53421999/85042596 (8.0%) | fills=118068 matches=47054
  [ctf] Block 53431999/85042596 (8.0%) | fills=118382 matches=47192
  [ctf] Block 53441999/85042596 (8.1%) | fills=119565 matches=47667
  [ctf] Block 53451999/85042596 (8.1%) | fills=120322 matches=47948
  [ctf] Block 53461999/85042596 (8.1%) | fills=120870 matches=48165
  [ctf] Block 53471999/85042596 (8.1%) | fills=121475 matches=48394
  [ctf] Block 53481999/85042596 (8.2%) | fills=122436 matches=48751
  [ctf] Block 53491999/85042596 (8.2%) | fills=123340 matches=49106
  [ctf] Block 53501999/85042596 (8.2%) | fills=124081 matches=49413
  [ctf] Block 53511999/85042596 (8.3%) | fills=124710 matches=49664
  [ctf] Block 53521999/85042596 (8.3%) | fills=125309 matches=49908
  [ctf] Block 53531999/85042596 (8.3%) | fills=126025 matches=50194
  [ctf] Block 53541999/85042596 (8.4%) | fills=126657 matches=50448
  [ctf] Block 53551999/85042596 (8.4%) | fills=126975 matches=50580
  [ctf] Block 53561999/85042596 (8.4%) | fills=127604 matches=50829
  [ctf] Block 53571999/85042596 (8.4%) | fills=128240 matches=51095
  [ctf] Block 53581999/85042596 (8.5%) | fills=128893 matches=51343
  [ctf] Block 53591999/85042596 (8.5%) | fills=129349 matches=51515
  [ctf] Block 53601999/85042596 (8.5%) | fills=130042 matches=51820
